,Theme,Company
78,면역항암제,"['에이비엘바이오', '녹십자랩셀', '앱클론', '크리스탈', '이수앱지스', '셀리드', '메드팩토', '티움바이오', '큐리언트', '인콘', '에스티큐브', '유틸렉스', '엔케이맥스', '한올바이오파마']"
79,평화공원,"['자연과환경', '코리아에스이', '웰크론', '크라운해태홀딩스', '삼륭물산', '퍼스텍']"
80,창투사,"['큐캐피탈', '컴퍼니케이', '나우IB', '대성창투', 'DSC인베스트먼트', '우리기술투자', 'TS인베스트먼트', '에이티넘인베스트', '미래에셋벤처투자', 'SV인베스트먼트']"
81,면역세포치료제,"['신라젠', '제넥신', '녹십자셀']"
82,VR,"['바른손이앤에이', '덱스터', '바른손', '위지윅스튜디오', '솔트웍스', '주연테크']"
83,ASF,"['고려시멘트', '신라에스지', '파루', '우진비앤지', '체시스', '제일바이오', '씨티씨바이오', '대한뉴팜', '정다운', '코미팜', '하림', '우리손에프앤지', '이지바이오', '선진', '마니커', '진바이오텍']"
84,테마파크,"['한국종합기술', '시공테크', '현대건설', '국보디자인', '이월드']"
85,Drone,"['피씨디렉트', '제이씨현시스템', '네온테크', '기산텔레콤', '퍼스텍', '아시아경제', '뉴로스', '한화에어로스페이스', '엠씨넥스', '한국항공우주', '해성옵틱스']"
86,취업,"['메가엠디', '에스코넥', 'TS인베스트먼트', '윌비스', 'DSC인베스트먼트']"
87,네트워크통합,"['한일네트웍스', '바른테크놀로지', '오파스넷', '인성정보', '오픈베이스', '링네트']"
88,건설사,"['일성건설', '까뮤이앤씨', '삼부토건']"
89,지진,"['한국종합기술', '유엔젤', '이엑스티', '한창']"
90,가스터빈,"['삼기오토모티브', '효성첨단소재', '평화홀딩스', '미코', '국일제지', '세원', '일진다이아', '동아화성', '에코바이오', '일지테크', '대원강업', '디케이락', '에스에너지']"
91,수소차,"['에스퓨얼셀', '두산퓨얼셀', '효성중공업', '우수AMS', '우리산업', '유니크', '풍국주정', '코오롱머티리얼', '현대자동차', '효성첨단소재', '이엠코리아', '미코', '제이엔케이히터', '일진다이아', 'LG화학', '삼성SDI', '세종공업', '성창오토텍', '뉴로스', '디케이락', '지엠비코리아', '평화산업', '인지컨트롤스', '모토닉', '동아화성', '삼보모터스', '에코바이오', '한온시스템', '영화테크', '동양피스톤', '글로벌에스엠', '대우부품', '유라테크']"
92,옥석가려라,['키움증권']
93,은행,"['JB금융지주', 'KG모빌리언스', '하나금융지주', '신한지주', '우리금융지주', 'KB금융', '제주은행']"
94,제약업체,"['대원제약', '신풍제약', '대한뉴팜', '종근당', '녹십자웰빙', '제일약품', '일양약품', '동화약품', '대웅제약', '진양제약', '국제약품', '고려제약', '셀트리온제약', '알리코제약', '코오롱생명과학', '신신제약', '유한양행']"
95,증권사,"['SK증권', 'DB금융투자']"
96,부품,"['이라이콤', '알에프텍', '해성옵틱스', '삼성전자', '세경하이테크', 'KH바텍', 'LG화학']"
