,title,contents
395,"방탄소년단 테마주 장중 혼조, 디피씨 오르고 키이스트 급락",방탄소년단(BTS)의 새 앨범이 세계적 인기를 얻고 있는 가운데 관련주 주가는 서로 엇갈린 흐름을 보이고 있다. 25일 오전 11시55분 기준 디피씨 주가는 전날보다 4.40%(400원) 오른 9500원에 거래되고 있다. 디피씨...
396,테마주 권유 스팸문자 없앤다…투자주의종목 지정 MOU 체결,최근에는 코로나19 사태에 따른 패닉장에서 각종 테마주가 기승을 부려 투자자 주의가 요망된다. 특히 테마주 매수를 권하는 대량 스팸 문자 메시지에 따른 투자자 혼란도 가중되고 있다. 시장감시위원회는 KISA가...
397,"거래소, 신종코로나 테마주 집중 모니터링…16종목 투자유의 발동",한국거래소가 신종 코로나 바이러스 테마주로 묶이는 일부 종목에 대해 집중 모니터링하겠다고... 이에 거래소는 해당 테마주에 대한 일부 투기세력들이 인위적 주가부양을 하는지 여부에 대해 집중...
398,올 여름도 무더위 ‘예고‘…벌써부터 눈독들이는 `여름 테마주'는 어디?,이에띠라 벌써부터 여름 테마주에 대한 투자자들의 관심도 높아지고 있다. 주목되는 여름 테마주는 냉방기 종목이다. ‘코로나19’ 확산 사태 장기화로 집콕족이 늘어나면서 냉방기를 찾는 이들이 증가할 것으로 예상되기...
399,"'오렌지 돌풍'은 없었다, 안철수 테마주 하락…안랩 11%↓",써니전자는 회사의 임원인 송태종 전 대표가 안랩 출신이라는 이유로 안철수 테마주로 꼽히고 있다. 다믈멀티미디어의 경우 정연홍 대표가 김홍선 전 안랩 대표와 대학원 동문이라는 이유로 테마주에 이름을...
400,"'오렌지 돌풍'은 없었다, 안철수 테마주 하락…안랩 11%↓",써니전자는 회사의 임원인 송태종 전 대표가 안랩 출신이라는 이유로 안철수 테마주로 꼽히고 있다. 다믈멀티미디어의 경우 정연홍 대표가 김홍선 전 안랩 대표와 대학원 동문이라는 이유로 테마주에 이름을...
401,"금융당국 ""신종코로나 테마주·악성 루머 대응 강화""","금융당국이 신종코로나 바이러스 감염증(신종 코로나) 관련 테마주와 악성루머에 대해 적극 대응할 방침이다.... 신종 코로나 테마주로 언급되는 종목의 대규모 고가 매수를 통한 시세 유인, 과도한 허수 주문, 초단기 시세..."
402,'신종 코로나' 소문에 급등락...테마주·루머 감시,"특히 이른바 '신종 코로나 테마주'의 등락률이 관심을 끌면서 금융당국도 본격 나섰는데요. 결국 투자자가... 신종 코로나 바이러스 감염증의 테마주로 주목받으면서, 설 연휴를 전후해 주가가 연일 급등한 겁니다...."
403,[시황] U-Healthcare(원격진료) 테마주…JW중외제약·유비케어·테라젠이텍스...,"5일 3시 30분 현재 U-Healthcare(원격진료) 테마주 시황은 다음과 같다. JW중외제약의 현재가는 37,900원으로 6.16% 상승했다. 유비케어의 현재가는 10,750원으로 5.39% 상승했다. 테라젠이텍스의 현재가는 11..."
404,"금감원, 사모펀드·테마주 집중점검...소비자 보호 강화","금융당국이 사모펀드 불건전영업행위에 대한 집중점검, 총선 테마주에 대한 기획조사 등을 실시하며... 금감원은 올해 4·15 총선을 앞두고 총선 테마주 등에 대한 기획조사를 시행할 계획이다. 또한 무자본 M&amp;A 사건..."
