,Theme,Company
102,가스관사업,"['대동스틸', '이엠코리아', '동양에스텍', '부국철강']"
103,제습기,"['위니아딤채', '위닉스', '파세코']"
104,,
105,,
106,영상콘텐츠,"['바른손', '쇼박스', '바른손이앤에이', 'SBS', '이에스에이', '큐로홀딩스', '키이스트']"
107,전자화폐,"['다날', '세틀뱅크', 'NHN한국사이버결제', 'SBI핀테크솔루션즈', 'KG이니시스', '신세계', '한국정보통신', '카페24', '코리아센터']"
108,반일,['모나미']
109,제4이동통신,"['쏠리드', 'CS', '바른테크놀로지', '콤텍시스템']"
110,스마트카,"['이에스브이', '만도', '유비벨록스', '엠씨넥스']"
111,화장품,"['넥스트BT', '오가닉티코스메틱', '슈펙스비앤피', '코썬바이오', '현대바이오', 'SK바이오랜드', '프로스테믹스', '애경산업', 'MP한강', '한국화장품', 'LG', '코스메카코리아', '아모레퍼시픽그룹', 'LG생활건강', '한국콜마', '넥스트아이']"
112,사물인터넷,"['이에스브이', '이그잭스', '유비쿼스', '엔텔스', '링네트', '오픈베이스', '에이디테크놀로지', '핸디소프트', '이아이디']"
113,LNG,"['현대미포조선', '한진중공업', '비에이치아이']"
114,SSD,"['심텍', 'SFA반도체', 'SGA', 'SK하이닉스', 'KMH하이텍', '네오셈', '하나마이크론']"
115,해운,"['KSS해운', '팬오션', '흥아해운', '대한해운', 'HMM']"
116,홈쇼핑,"['현대홈쇼핑', '롯데쇼핑', 'CJ', '태광산업', '엔에스쇼핑']"
117,밥솥,"['윌링스', '어보브반도체', 'PN풍년', '쿠쿠홀딩스']"
118,탄소배출권,"['에코프로', '한솔홈데코', '후성', '휴켐스', '세종공업', '유니슨', '에코바이오', 'KC코트렐', '이건산업']"
119,,
120,MVNO,['아이즈비전']
121,,
122,폐기물처리,"['코엔텍', '와이엔텍', '제넨바이오', '에코마이스터', '인선이엔티']"
123,비철금속,"['국일신동', '대유플러스', '코센', '남선알미늄', '서원', '이구산업']"
124,블록체인,"['케이사인', '주연테크', '팍스넷', '드림시큐리티', '라온시큐어', '데일리블록체인', '글로스퍼랩스']"
125,도시가스,"['예스코홀딩스', '삼천리', '지에스이', '대성에너지', '한국가스공사', '대성홀딩스']"
126,캐릭터상품,"['캐리소프트', '오로라', '쌍방울', '데브시스터즈']"
127,음식료업종,"['네이처셀', '마니커에프앤지', '신송홀딩스', '미래생명자원']"
128,음성인식,"['코콤', '코아시아', '블루콤', '코맥스', '파인디지털']"
129,핵융합에너지,"['비츠로테크', '에스에프에이', '두산중공업', '다원시스', '모비스']"
130,CCTV,['코콤']
131,백신,"['신풍제약', 'SK케미칼', '바디텍메드', '오공', '부광약품', '랩지노믹스', '바이오니아', '수젠텍', '씨젠', '파미셀', '피씨엘', '일양약품', '코미팜', '중앙백신', '제일바이오', '씨티씨바이오', '우진비앤지', '모나리자', '웰크론', '체시스', '파루', '진매트릭스', '진원생명과학']"
132,손해보험,"['흥국화재', 'DB손해보험', '메리츠화재', '코리안리', '현대해상']"
133,전자파,"['제너셈', '한미반도체', '프로텍', '켐트로닉스', '상신전자']"
134,바이오,"['이지바이오', '제일바이오', '오스테오닉', '셀트리온제약', '알테오젠', '젬백스링크', '녹십자랩셀', '레고켐바이오', '헬릭스미스', '신라젠', '키움증권']"
135,온실가스,['에코프로']
136,무선충전기술,"['켐트로닉스', '삼성전기', 'LG이노텍', '삼성전자', '한솔테크닉스', '이랜텍', '알에프텍']"
137,통신장비,"['인포마크', '알엔투테크놀로지', '머큐리', '전파기지국', '케이엠더블유', '핸디소프트', '스카이문스테크놀로지', 'CS', '오이솔루션', '루멘스', '이노와이어리스', '에이스테크', '메탈라이프', 'RFHIC', '파이오링크', '다산네트웍스']"
138,광고,"['지투알', '지어소프트', '케어랩스', '에코마케팅']"
139,FinTech,"['NAVER', '카카오', '세틀뱅크', '웹케시', '한국정보통신', '라온시큐어', '한국정보인증', '아톤', 'SGA솔루션즈', 'SK']"
140,우주항공산업,"['한화', '대한항공', '한화에어로스페이스', '퍼스텍', '한양디지텍']"
141,치매,"['모나리자', '대웅제약', '젬백스', '에이비엘바이오', '아이큐어', '차바이오텍', '보령제약', '엔에스엔', '고려제약', '진양제약', '씨티씨바이오', '메디포스트', '메디프론', '화일약품', '수젠텍']"
142,FPCB,"['타이거일렉', '필옵틱스', '삼성전기', '아모그린텍', '슈펙스비앤피', '시노펙스', '스타모빌리티', '자비스', '코리아써키트']"
143,MRO,"['이크레더블', '이상네트웍스']"
144,폐렴,"['체시스', '진양제약', '바디텍메드', '대상', '삼성전자', '동진쎄미켐', '로체시스템즈', '우정바이오', '국제약품', '일신바이오', '모나리자', '서린바이오', '진원생명과학', '이글벳', '고려제약', '파루', '진매트릭스', '삼성바이오로직스', '웰크론', '강원']"
145,풍력에너지,"['씨에스윈드', '스페코', '현진소재', '우림기계', '씨에스베어링', '두산중공업', '유니슨', '한일단조', '태웅', '한국조선해양', '삼강엠앤티', '케이피에프']"
